ctxlen	rep	is_warmup	order_first	mode	step_ns	token	logits_max_abs_diff	process_peak_rss_kb
4	0	1	1	cached	195128000.0	11	0	636496
4	0	1	1	full	779378000.0	11	0	636496
4	1	1	0	cached	289611000.0	11	0	636496
4	1	1	0	full	610827000.0	11	0	636496
4	2	1	1	cached	176038000.0	11	0	636496
4	2	1	1	full	514648000.0	11	0	636496
4	3	0	0	cached	238390000.0	11	0	636496
4	3	0	0	full	499849000.0	11	0	636496
4	4	0	1	cached	188076000.0	11	0	636496
4	4	0	1	full	1041967000.0	11	0	636496
4	5	0	0	cached	190552000.0	11	0	636496
4	5	0	0	full	565235000.0	11	0	636496
4	6	0	1	cached	158216000.0	11	0	636496
4	6	0	1	full	490952000.0	11	0	636496
4	7	0	0	cached	148254000.0	11	0	636496
4	7	0	0	full	532371000.0	11	0	636496
4	8	0	1	cached	148530000.0	11	0	636496
4	8	0	1	full	490476000.0	11	0	636496
4	9	0	0	cached	178522000.0	11	0	636496
4	9	0	0	full	493474000.0	11	0	636496
4	10	0	1	cached	169950000.0	11	0	636496
4	10	0	1	full	474423000.0	11	0	636496
4	11	0	0	cached	152293000.0	11	0	636496
4	11	0	0	full	503501000.0	11	0	636496
4	12	0	1	cached	151873000.0	11	0	636496
4	12	0	1	full	488419000.0	11	0	636496
16	0	1	1	cached	208758000.0	262	0	636496
16	0	1	1	full	1799678000.0	262	0	636496
16	1	1	0	cached	234321000.0	262	0	636496
16	1	1	0	full	2199459000.0	262	0	636496
16	2	1	1	cached	261261000.0	262	0	636496
16	2	1	1	full	2023474000.0	262	0	636496
16	3	0	0	cached	334487000.0	262	0	636496
16	3	0	0	full	2270350000.0	262	0	636496
16	4	0	1	cached	359280000.0	262	0	636496
16	4	0	1	full	2061951000.0	262	0	636496
16	5	0	0	cached	302688000.0	262	0	636496
16	5	0	0	full	1971599000.0	262	0	636496
16	6	0	1	cached	329212000.0	262	0	636496
16	6	0	1	full	1915365000.0	262	0	636496
16	7	0	0	cached	269398000.0	262	0	636496
16	7	0	0	full	2110861000.0	262	0	636496
16	8	0	1	cached	305625000.0	262	0	636496
16	8	0	1	full	1933840000.0	262	0	636496
16	9	0	0	cached	173714000.0	262	0	636496
16	9	0	0	full	1796284000.0	262	0	636496
16	10	0	1	cached	291212000.0	262	0	636496
16	10	0	1	full	2086473000.0	262	0	636496
16	11	0	0	cached	177565000.0	262	0	636496
16	11	0	0	full	2036200000.0	262	0	636496
16	12	0	1	cached	160001000.0	262	0	636496
16	12	0	1	full	1779545000.0	262	0	636496
32	0	1	1	cached	262386000.0	13	0	636496
32	0	1	1	full	3647569000.0	13	0	636496
32	1	1	0	cached	162995000.0	13	0	636496
32	1	1	0	full	4198065000.0	13	0	636496
32	2	1	1	cached	286884000.0	13	0	636496
32	2	1	1	full	5760453000.0	13	0	636496
32	3	0	0	cached	305570000.0	13	0	636496
32	3	0	0	full	4366769000.0	13	0	636496
32	4	0	1	cached	428079000.0	13	0	636496
32	4	0	1	full	3950084000.0	13	0	636496
32	5	0	0	cached	494384000.0	13	0	636496
32	5	0	0	full	3628161000.0	13	0	636496
32	6	0	1	cached	162567000.0	13	0	636496
32	6	0	1	full	4414055000.0	13	0	636496
32	7	0	0	cached	417902000.0	13	0	636496
32	7	0	0	full	4052169000.0	13	0	636496
32	8	0	1	cached	279172000.0	13	0	636496
32	8	0	1	full	3971353000.0	13	0	636496
32	9	0	0	cached	250264000.0	13	0	636496
32	9	0	0	full	4006172000.0	13	0	636496
32	10	0	1	cached	349075000.0	13	0	636496
32	10	0	1	full	3723847000.0	13	0	636496
32	11	0	0	cached	350986000.0	13	0	636496
32	11	0	0	full	3827500000.0	13	0	636496
32	12	0	1	cached	291088000.0	13	0	636496
32	12	0	1	full	3890989000.0	13	0	636496
64	0	1	1	cached	253411000.0	505	0	636496
64	0	1	1	full	7071073000.0	505	0	636496
64	1	1	0	cached	195710000.0	505	0	636496
64	1	1	0	full	7332235000.0	505	0	636496
64	2	1	1	cached	187610000.0	505	0	636496
64	2	1	1	full	7137486000.0	505	0	636496
64	3	0	0	cached	242640000.0	505	0	636496
64	3	0	0	full	7249059000.0	505	0	636496
64	4	0	1	cached	274606000.0	505	0	636496
64	4	0	1	full	7602426000.0	505	0	636496
64	5	0	0	cached	318750000.0	505	0	636496
64	5	0	0	full	9124236000.0	505	0	636496
64	6	0	1	cached	304524000.0	505	0	636496
64	6	0	1	full	7665716000.0	505	0	636496
64	7	0	0	cached	303802000.0	505	0	636496
64	7	0	0	full	7311728000.0	505	0	636496
64	8	0	1	cached	259005000.0	505	0	636496
64	8	0	1	full	7252185000.0	505	0	636496
64	9	0	0	cached	286095000.0	505	0	636496
64	9	0	0	full	7644821000.0	505	0	636496
64	10	0	1	cached	259710000.0	505	0	636496
64	10	0	1	full	6811410000.0	505	0	636496
64	11	0	0	cached	259977000.0	505	0	636496
64	11	0	0	full	8159951000.0	505	0	636496
64	12	0	1	cached	294133000.0	505	0	636496
64	12	0	1	full	6947788000.0	505	0	636496
